GP,Date,Unnamed: 2,Opponent,GF,GA,Unnamed: 6,Unnamed: 7,W,L,T,OL,Streak,Season,Att.,LOG,Notes
82,2019-04-06,,Tampa Bay Lightning,3,6,L,,49,24,,9,L 1,2019,17565.0,2:23,
1,2019-10-03,@,Dallas Stars,2,1,W,,1,0,,0,W 1,2020,18532.0,2:33,
2,2019-10-05,@,Arizona Coyotes,1,0,W,,2,0,,0,W 2,2020,17125.0,2:17,
3,2019-10-08,@,Vegas Golden Knights,4,3,W,,3,0,,0,W 3,2020,18223.0,2:31,
4,2019-10-10,@,Colorado Avalanche,2,4,L,,3,1,,0,L 1,2020,18045.0,2:35,
5,2019-10-12,,New Jersey Devils,3,0,W,,4,1,,0,W 1,2020,17193.0,2:24,
6,2019-10-14,,Anaheim Ducks,4,2,W,,5,1,,0,W 2,2020,17193.0,2:41,
7,2019-10-17,,Tampa Bay Lightning,3,4,L,SO,5,1,,1,L 1,2020,17193.0,2:53,
8,2019-10-19,@,Toronto Maple Leafs,3,4,L,OT,5,1,,2,L 2,2020,19394.0,2:29,
9,2019-10-22,,Toronto Maple Leafs,4,2,W,,6,1,,2,W 1,2020,17193.0,2:44,
10,2019-10-26,,St. Louis Blues,3,0,W,,7,1,,2,W 2,2020,17193.0,2:29,
11,2019-10-27,@,New York Rangers,7,4,W,,8,1,,2,W 3,2020,17144.0,2:37,
12,2019-10-29,,San Jose Sharks,5,1,W,,9,1,,2,W 4,2020,17193.0,3:17,
13,2019-11-02,,Ottawa Senators,5,2,W,,10,1,,2,W 5,2020,17193.0,3:48,
14,2019-11-04,,Pittsburgh Penguins,6,4,W,,11,1,,2,W 6,2020,17193.0,2:33,
15,2019-11-05,@,Montreal Canadiens,4,5,L,,11,2,,2,L 1,2020,21302.0,2:33,
16,2019-11-08,@,Detroit Red Wings,2,4,L,,11,3,,2,L 2,2020,19515.0,2:43,
17,2019-11-10,,Philadelphia Flyers,2,3,L,SO,11,3,,3,L 3,2020,17193.0,2:50,
18,2019-11-12,,Florida Panthers,4,5,L,SO,11,3,,4,L 4,2020,17850.0,2:47,
19,2019-11-15,@,Toronto Maple Leafs,4,2,W,,12,3,,4,W 1,2020,19434.0,2:32,
20,2019-11-16,,Washington Capitals,2,3,L,SO,12,3,,5,L 1,2020,17850.0,2:35,
21,2019-11-19,@,New Jersey Devils,5,1,W,,13,3,,5,W 1,2020,15061.0,2:21,
22,2019-11-21,,Buffalo Sabres,3,2,W,,14,3,,5,W 2,2020,17850.0,2:29,
23,2019-11-23,,Minnesota Wild,5,4,W,OT,15,3,,5,W 3,2020,17850.0,2:46,
24,2019-11-26,@,Montreal Canadiens,8,1,W,,16,3,,5,W 4,2020,21302.0,2:27,
25,2019-11-27,@,Ottawa Senators,2,1,W,,17,3,,5,W 5,2020,13336.0,2:17,
26,2019-11-29,,New York Rangers,3,2,W,OT,18,3,,5,W 6,2020,17850.0,2:28,
27,2019-12-01,,Montreal Canadiens,3,1,W,,19,3,,5,W 7,2020,17850.0,2:31,
28,2019-12-03,,Carolina Hurricanes,2,0,W,,20,3,,5,W 8,2020,17850.0,2:26,
29,2019-12-05,,Chicago Blackhawks,3,4,L,OT,20,3,,6,L 1,2020,17850.0,2:32,
30,2019-12-07,,Colorado Avalanche,1,4,L,,20,4,,6,L 2,2020,17850.0,2:52,
31,2019-12-09,@,Ottawa Senators,2,5,L,,20,5,,6,L 3,2020,13894.0,2:34,
32,2019-12-11,@,Washington Capitals,2,3,L,,20,6,,6,L 4,2020,18573.0,2:31,
33,2019-12-12,@,Tampa Bay Lightning,2,3,L,,20,7,,6,L 5,2020,19092.0,2:32,
34,2019-12-14,@,Florida Panthers,4,2,W,,21,7,,6,W 1,2020,15157.0,2:35,
35,2019-12-17,,Los Angeles Kings,3,4,L,OT,21,7,,7,L 1,2020,17850.0,2:43,
36,2019-12-19,,New York Islanders,2,3,L,SO,21,7,,8,L 2,2020,17850.0,2:37,
37,2019-12-21,,Nashville Predators,3,4,L,OT,21,7,,9,L 3,2020,17850.0,2:41,
38,2019-12-23,,Washington Capitals,7,3,W,,22,7,,9,W 1,2020,17850.0,2:58,
39,2019-12-27,@,Buffalo Sabres,3,0,W,,23,7,,9,W 2,2020,19070.0,2:22,
40,2019-12-29,,Buffalo Sabres,3,2,W,,24,7,,9,W 3,2020,17850.0,2:33,
41,2019-12-31,@,New Jersey Devils,2,3,L,SO,24,7,,10,L 1,2020,16514.0,2:33,
42,2020-01-02,,Columbus Blue Jackets,1,2,L,OT,24,7,,11,L 2,2020,17850.0,2:22,
43,2020-01-04,,Edmonton Oilers,1,4,L,,24,8,,11,L 3,2020,17850.0,2:24,
44,2020-01-07,@,Nashville Predators,6,2,W,,25,8,,11,W 1,2020,17623.0,2:40,
45,2020-01-09,,Winnipeg Jets,5,4,W,,26,8,,11,W 2,2020,17850.0,2:31,
46,2020-01-11,@,New York Islanders,3,2,W,OT,27,8,,11,W 3,2020,14962.0,2:28,"at Barclays Center (Brooklyn, NY)"
47,2020-01-13,@,Philadelphia Flyers,5,6,L,SO,27,8,,12,L 1,2020,19246.0,2:49,
48,2020-01-14,@,Columbus Blue Jackets,0,3,L,,27,9,,12,L 2,2020,17349.0,2:23,
49,2020-01-16,,Pittsburgh Penguins,4,1,W,,28,9,,12,W 1,2020,17850.0,2:37,
50,2020-01-19,@,Pittsburgh Penguins,3,4,L,,28,10,,12,L 1,2020,18655.0,2:32,
51,2020-01-21,,Vegas Golden Knights,3,2,W,,29,10,,12,W 1,2020,17850.0,2:24,
52,2020-01-31,@,Winnipeg Jets,2,1,W,,30,10,,12,W 2,2020,15325.0,2:32,
53,2020-02-01,@,Minnesota Wild,6,1,W,,31,10,,12,W 3,2020,18009.0,2:30,
54,2020-02-04,,Vancouver Canucks,4,0,W,,32,10,,12,W 4,2020,17850.0,2:32,
55,2020-02-05,@,Chicago Blackhawks,2,1,W,OT,33,10,,12,W 5,2020,21472.0,2:32,
56,2020-02-08,,Arizona Coyotes,4,2,W,,34,10,,12,W 6,2020,17850.0,2:27,
57,2020-02-09,@,Detroit Red Wings,1,3,L,,34,11,,12,L 1,2020,19515.0,2:27,
58,2020-02-12,,Montreal Canadiens,4,1,W,,35,11,,12,W 1,2020,17850.0,2:33,
59,2020-02-15,,Detroit Red Wings,4,1,W,,36,11,,12,W 2,2020,17850.0,2:25,
60,2020-02-16,@,New York Rangers,3,1,W,,37,11,,12,W 3,2020,18006.0,2:29,
61,2020-02-19,@,Edmonton Oilers,2,1,W,OT,38,11,,12,W 4,2020,17804.0,2:27,
62,2020-02-21,@,Calgary Flames,4,3,W,,39,11,,12,W 5,2020,19289.0,2:20,
63,2020-02-22,@,Vancouver Canucks,3,9,L,,39,12,,12,L 1,2020,18871.0,2:45,
64,2020-02-25,,Calgary Flames,2,5,L,,39,13,,12,L 2,2020,17850.0,2:35,
65,2020-02-27,,Dallas Stars,4,3,W,,40,13,,12,W 1,2020,17850.0,2:27,
66,2020-02-29,@,New York Islanders,4,0,W,,41,13,,12,W 2,2020,13917.0,2:34,
67,2020-03-03,@,Tampa Bay Lightning,2,1,W,,42,13,,12,W 3,2020,19092.0,2:31,
68,2020-03-05,@,Florida Panthers,2,1,W,OT,43,13,,12,W 4,2020,15577.0,2:57,
69,2020-03-07,,Tampa Bay Lightning,3,5,L,,43,14,,12,L 1,2020,17850.0,2:54,
70,2020-03-10,@,Philadelphia Flyers,2,0,W,,44,14,,12,W 1,2020,19689.0,2:15,
1,2021-01-14,@,New Jersey Devils,3,2,W,SO,1,0,,0,W 1,2021,,2:43,
2,2021-01-16,@,New Jersey Devils,1,2,L,OT,1,0,,1,L 1,2021,,2:34,
3,2021-01-18,@,New York Islanders,0,1,L,,1,1,,1,L 2,2021,,2:26,
4,2021-01-21,,Philadelphia Flyers,5,4,W,SO,2,1,,1,W 1,2021,,2:46,
5,2021-01-23,,Philadelphia Flyers,6,1,W,,3,1,,1,W 2,2021,,2:26,
6,2021-01-26,,Pittsburgh Penguins,3,2,W,OT,4,1,,1,W 3,2021,,2:40,
7,2021-01-28,,Pittsburgh Penguins,4,1,W,,5,1,,1,W 4,2021,,2:15,
8,2021-01-30,@,Washington Capitals,3,4,L,OT,5,1,,2,L 1,2021,,2:28,
9,2021-02-01,@,Washington Capitals,5,3,W,,6,1,,2,W 1,2021,,2:27,
10,2021-02-03,@,Philadelphia Flyers,4,3,W,OT,7,1,,2,W 2,2021,,2:27,
11,2021-02-05,@,Philadelphia Flyers,2,1,W,,8,1,,2,W 3,2021,,2:30,
12,2021-02-10,@,New York Rangers,3,2,W,OT,9,1,,2,W 4,2021,,2:32,
13,2021-02-12,@,New York Rangers,1,0,W,,10,1,,2,W 5,2021,,2:30,
14,2021-02-13,@,New York Islanders,2,4,L,,10,2,,2,L 1,2021,,2:30,
15,2021-02-18,,New Jersey Devils,2,3,L,,10,3,,2,L 2,2021,,2:28,
16,2021-02-21,,Philadelphia Flyers,7,3,W,,11,3,,2,W 1,2021,,2:28,"at Edgewood Tahoe Resort (Stateline, NV)"
17,2021-02-25,@,New York Islanders,2,7,L,,11,4,,2,L 1,2021,,2:24,
18,2021-02-26,@,New York Rangers,2,6,L,,11,5,,2,L 2,2021,1800.0,2:33,
19,2021-02-28,@,New York Rangers,4,1,W,,12,5,,2,W 1,2021,1800.0,2:24,
20,2021-03-03,,Washington Capitals,1,2,L,SO,12,5,,3,L 1,2021,,2:48,
21,2021-03-05,,Washington Capitals,5,1,W,,13,5,,3,W 1,2021,,3:01,
22,2021-03-07,,New Jersey Devils,0,1,L,,13,6,,3,L 1,2021,,2:25,
23,2021-03-09,@,New York Islanders,1,2,L,SO,13,6,,4,L 2,2021,,2:32,
24,2021-03-11,,New York Rangers,4,0,W,,14,6,,4,W 1,2021,,2:22,
25,2021-03-13,,New York Rangers,0,4,L,,14,7,,4,L 1,2021,,2:32,
26,2021-03-15,@,Pittsburgh Penguins,1,4,L,,14,8,,4,L 2,2021,2800.0,2:28,
27,2021-03-16,@,Pittsburgh Penguins,2,1,W,,15,8,,4,W 1,2021,2800.0,2:30,
28,2021-03-18,@,Buffalo Sabres,4,1,W,,16,8,,4,W 2,2021,,2:25,
29,2021-03-25,,New York Islanders,3,4,L,OT,16,8,,5,L 1,2021,2191.0,2:40,
30,2021-03-27,,Buffalo Sabres,3,2,W,,17,8,,5,W 1,2021,2191.0,2:28,
31,2021-03-28,,New Jersey Devils,0,1,L,,17,9,,5,L 1,2021,2191.0,2:46,
32,2021-03-30,,New Jersey Devils,5,4,W,SO,18,9,,5,W 1,2021,2191.0,2:50,
33,2021-04-01,,Pittsburgh Penguins,1,4,L,,18,10,,5,L 1,2021,2191.0,2:33,
34,2021-04-03,,Pittsburgh Penguins,7,5,W,,19,10,,5,W 1,2021,2191.0,2:44,
35,2021-04-05,,Philadelphia Flyers,2,3,L,OT,19,10,,6,L 1,2021,2191.0,2:38,
36,2021-04-06,@,Philadelphia Flyers,4,2,W,,20,10,,6,W 1,2021,2638.0,2:36,
37,2021-04-08,@,Washington Capitals,4,2,W,,21,10,,6,W 2,2021,,2:34,
38,2021-04-10,@,Philadelphia Flyers,2,3,L,,21,11,,6,L 1,2021,3025.0,2:29,
39,2021-04-11,,Washington Capitals,1,8,L,,21,12,,6,L 2,2021,2191.0,2:32,
40,2021-04-13,,Buffalo Sabres,3,2,W,SO,22,12,,6,W 1,2021,2191.0,2:45,
41,2021-04-15,,New York Islanders,4,1,W,,23,12,,6,W 2,2021,2191.0,2:34,
42,2021-04-16,,New York Islanders,3,0,W,,24,12,,6,W 3,2021,2191.0,2:26,
43,2021-04-18,,Washington Capitals,6,3,W,,25,12,,6,W 4,2021,2191.0,2:35,
44,2021-04-20,@,Buffalo Sabres,2,0,W,,26,12,,6,W 5,2021,,2:39,
45,2021-04-22,@,Buffalo Sabres,5,1,W,,27,12,,6,W 6,2021,,2:24,
46,2021-04-23,@,Buffalo Sabres,4,6,L,,27,13,,6,L 1,2021,,2:31,
47,2021-04-25,@,Pittsburgh Penguins,0,1,L,,27,14,,6,L 2,2021,4672.0,2:26,
48,2021-04-27,@,Pittsburgh Penguins,3,1,W,,28,14,,6,W 1,2021,4672.0,2:26,
49,2021-04-29,,Buffalo Sabres,5,2,W,,29,14,,6,W 2,2021,2191.0,2:31,
50,2021-05-01,,Buffalo Sabres,6,2,W,,30,14,,6,W 3,2021,2191.0,2:35,
51,2021-05-03,@,New Jersey Devils,3,0,W,,31,14,,6,W 4,2021,3600.0,2:23,
52,2021-05-04,@,New Jersey Devils,3,4,L,OT,31,14,,7,L 1,2021,3600.0,2:42,
53,2021-05-06,,New York Rangers,4,0,W,,32,14,,7,W 1,2021,2191.0,2:21,
54,2021-05-08,,New York Rangers,4,5,L,,32,15,,7,L 1,2021,2191.0,2:33,
55,2021-05-10,,New York Islanders,3,2,W,OT,33,15,,7,W 1,2021,4565.0,2:38,
56,2021-05-11,@,Washington Capitals,1,2,L,,33,16,,7,L 1,2021,2133.0,2:20,
1,2021-10-16,,Dallas Stars,3,1,W,,1,0,,0,W 1,2022,17850.0,2:36,
2,2021-10-20,@,Philadelphia Flyers,3,6,L,,1,1,,0,L 1,2022,15310.0,2:26,
3,2021-10-22,@,Buffalo Sabres,4,1,W,,2,1,,0,W 1,2022,7820.0,2:16,
4,2021-10-24,,San Jose Sharks,4,3,W,,3,1,,0,W 2,2022,17850.0,2:32,
5,2021-10-27,@,Florida Panthers,1,4,L,,3,2,,0,L 1,2022,12306.0,2:26,
6,2021-10-28,@,Carolina Hurricanes,0,3,L,,3,3,,0,L 2,2022,16093.0,2:31,
7,2021-10-30,,Florida Panthers,3,2,W,SO,4,3,,0,W 1,2022,17850.0,2:33,
8,2021-11-04,,Detroit Red Wings,5,1,W,,5,3,,0,W 2,2022,17850.0,2:29,
9,2021-11-06,@,Toronto Maple Leafs,2,5,L,,5,4,,0,L 1,2022,19077.0,2:30,
10,2021-11-09,,Ottawa Senators,3,2,W,,6,4,,0,W 1,2022,17850.0,2:35,
11,2021-11-11,,Edmonton Oilers,3,5,L,,6,5,,0,L 1,2022,17850.0,2:25,
12,2021-11-13,@,New Jersey Devils,5,2,W,,7,5,,0,W 1,2022,16514.0,2:30,
13,2021-11-14,,Montreal Canadiens,5,2,W,,8,5,,0,W 2,2022,17850.0,2:29,
14,2021-11-20,@,Philadelphia Flyers,5,2,W,,9,5,,0,W 3,2022,19644.0,2:32,
15,2021-11-21,,Calgary Flames,0,4,L,,9,6,,0,L 1,2022,17850.0,2:28,
16,2021-11-24,@,Buffalo Sabres,5,1,W,,10,6,,0,W 1,2022,9416.0,2:23,
17,2021-11-26,,New York Rangers,2,5,L,,10,7,,0,L 1,2022,17850.0,2:34,
18,2021-11-28,,Vancouver Canucks,3,2,W,,11,7,,0,W 1,2022,17850.0,2:35,
19,2021-11-30,,Detroit Red Wings,1,2,L,,11,8,,0,L 1,2022,17850.0,2:33,
20,2021-12-02,@,Nashville Predators,2,0,W,,12,8,,0,W 1,2022,17159.0,2:41,
21,2021-12-04,,Tampa Bay Lightning,2,3,L,OT,12,8,,1,L 1,2022,17850.0,2:33,
22,2021-12-08,@,Vancouver Canucks,1,2,L,SO,12,8,,2,L 2,2022,18403.0,2:45,
23,2021-12-09,@,Edmonton Oilers,3,2,W,,13,8,,2,W 1,2022,16112.0,2:32,
24,2021-12-11,@,Calgary Flames,4,2,W,,14,8,,2,W 2,2022,16190.0,2:40,
25,2021-12-14,,Vegas Golden Knights,1,4,L,,14,9,,2,L 1,2022,17850.0,2:24,
26,2021-12-16,@,New York Islanders,1,3,L,,14,10,,2,L 2,2022,17255.0,2:28,
27,2022-01-01,,Buffalo Sabres,4,3,W,OT,15,10,,2,W 1,2022,17850.0,2:39,
28,2022-01-02,@,Detroit Red Wings,5,1,W,,16,10,,2,W 2,2022,17973.0,2:29,
29,2022-01-04,,New Jersey Devils,5,3,W,,17,10,,2,W 3,2022,17850.0,2:38,
30,2022-01-06,,Minnesota Wild,2,3,L,,17,11,,2,L 1,2022,17850.0,2:40,
31,2022-01-08,@,Tampa Bay Lightning,5,2,W,,18,11,,2,W 1,2022,19092.0,2:32,
32,2022-01-10,@,Washington Capitals,7,3,W,,19,11,,2,W 2,2022,18573.0,2:39,
33,2022-01-12,,Montreal Canadiens,5,1,W,,20,11,,2,W 3,2022,17850.0,2:39,
34,2022-01-13,,Philadelphia Flyers,3,2,W,,21,11,,2,W 4,2022,17850.0,2:36,
35,2022-01-15,,Nashville Predators,4,3,W,OT,22,11,,2,W 5,2022,17850.0,2:41,
36,2022-01-18,,Carolina Hurricanes,1,7,L,,22,12,,2,L 1,2022,17850.0,2:31,
37,2022-01-20,,Washington Capitals,4,3,W,,23,12,,2,W 1,2022,17850.0,2:31,
38,2022-01-22,,Winnipeg Jets,3,2,W,,24,12,,2,W 2,2022,17850.0,2:22,
39,2022-01-24,,Anaheim Ducks,3,5,L,,24,13,,2,L 1,2022,17850.0,2:32,
40,2022-01-26,@,Colorado Avalanche,3,4,L,OT,24,13,,3,L 2,2022,18041.0,2:49,
41,2022-01-28,@,Arizona Coyotes,2,1,W,,25,13,,3,W 1,2022,12994.0,2:31,
42,2022-01-30,@,Dallas Stars,1,6,L,,25,14,,3,L 1,2022,17954.0,2:21,
43,2022-02-01,,Seattle Kraken,3,2,W,,26,14,,3,W 1,2022,17850.0,2:31,
44,2022-02-08,,Pittsburgh Penguins,2,4,L,,26,15,,3,L 1,2022,17850.0,2:32,
45,2022-02-10,,Carolina Hurricanes,0,6,L,,26,16,,3,L 2,2022,17850.0,2:43,
46,2022-02-12,@,Ottawa Senators,2,0,W,,27,16,,3,W 1,2022,500.0,2:28,
47,2022-02-15,@,New York Rangers,1,2,L,SO,27,16,,4,L 1,2022,15403.0,2:38,
48,2022-02-17,@,New York Islanders,1,4,L,,27,17,,4,L 2,2022,16518.0,2:20,
49,2022-02-19,@,Ottawa Senators,3,2,W,OT,28,17,,4,W 1,2022,5212.0,2:29,
50,2022-02-21,,Colorado Avalanche,5,1,W,,29,17,,4,W 2,2022,17850.0,2:32,
51,2022-02-24,@,Seattle Kraken,3,2,W,OT,30,17,,4,W 3,2022,17151.0,2:30,
52,2022-02-26,@,San Jose Sharks,3,1,W,,31,17,,4,W 4,2022,17260.0,2:23,
53,2022-02-28,@,Los Angeles Kings,7,0,W,,32,17,,4,W 5,2022,16067.0,2:35,
54,2022-03-01,@,Anaheim Ducks,3,4,L,,32,18,,4,L 1,2022,11567.0,2:32,
55,2022-03-03,@,Vegas Golden Knights,5,2,W,,33,18,,4,W 1,2022,18109.0,2:26,
56,2022-03-05,@,Columbus Blue Jackets,5,4,W,SO,34,18,,4,W 2,2022,19434.0,2:39,
57,2022-03-07,,Los Angeles Kings,2,3,L,OT,34,18,,5,L 1,2022,17850.0,2:43,
58,2022-03-10,,Chicago Blackhawks,4,3,W,,35,18,,5,W 1,2022,17850.0,2:31,
59,2022-03-12,,Arizona Coyotes,3,2,W,,36,18,,5,W 2,2022,17850.0,2:24,
60,2022-03-15,@,Chicago Blackhawks,2,1,W,OT,37,18,,5,W 3,2022,19629.0,2:34,
61,2022-03-16,@,Minnesota Wild,2,4,L,,37,19,,5,L 1,2022,17956.0,2:40,
62,2022-03-18,@,Winnipeg Jets,4,2,W,,38,19,,5,W 1,2022,14191.0,2:30,
63,2022-03-21,@,Montreal Canadiens,3,2,W,OT,39,19,,5,W 2,2022,20922.0,2:27,
64,2022-03-24,,Tampa Bay Lightning,3,2,W,,40,19,,5,W 3,2022,17850.0,2:39,
65,2022-03-26,,New York Islanders,6,3,W,,41,19,,5,W 4,2022,17850.0,2:32,
66,2022-03-29,,Toronto Maple Leafs,4,6,L,,41,20,,5,L 1,2022,17850.0,2:34,
67,2022-03-31,,New Jersey Devils,8,1,W,,42,20,,5,W 1,2022,17850.0,2:49,
68,2022-04-02,,Columbus Blue Jackets,5,2,W,,43,20,,5,W 2,2022,17850.0,2:23,
69,2022-04-04,@,Columbus Blue Jackets,3,2,W,OT,44,20,,5,W 3,2022,16396.0,2:45,
70,2022-04-05,@,Detroit Red Wings,3,5,L,,44,21,,5,L 1,2022,15734.0,2:35,
71,2022-04-08,@,Tampa Bay Lightning,2,1,W,OT,45,21,,5,W 1,2022,19092.0,2:34,
72,2022-04-10,@,Washington Capitals,2,4,L,,45,22,,5,L 1,2022,18573.0,2:39,
73,2022-04-12,,St. Louis Blues,2,4,L,,45,23,,5,L 2,2022,17850.0,2:31,
74,2022-04-14,,Ottawa Senators,2,3,L,,45,24,,5,L 3,2022,17850.0,2:39,
75,2022-04-16,,Pittsburgh Penguins,2,1,W,,46,24,,5,W 1,2022,17850.0,2:26,
76,2022-04-19,@,St. Louis Blues,3,2,W,OT,47,24,,5,W 2,2022,18096.0,2:29,
77,2022-04-21,@,Pittsburgh Penguins,0,4,L,,47,25,,5,L 1,2022,18350.0,2:30,
78,2022-04-23,,New York Rangers,3,1,W,,48,25,,5,W 1,2022,17850.0,2:26,
79,2022-04-24,@,Montreal Canadiens,5,3,W,,49,25,,5,W 2,2022,21105.0,2:33,
80,2022-04-26,,Florida Panthers,4,2,W,,50,25,,5,W 3,2022,17850.0,2:34,
81,2022-04-28,,Buffalo Sabres,5,0,W,,51,25,,5,W 4,2022,17850.0,2:32,
82,2022-04-29,@,Toronto Maple Leafs,2,5,L,,51,26,,5,L 1,2022,18219.0,2:29,
1,2022-10-12,@,Washington Capitals,5,2,W,,1,0,,0,W 1,2023,18573.0,2:28,
2,2022-10-15,,Arizona Coyotes,6,3,W,,2,0,,0,W 2,2023,17850.0,2:33,
3,2022-10-17,,Florida Panthers,5,3,W,,3,0,,0,W 3,2023,17850.0,2:32,
4,2022-10-18,@,Ottawa Senators,5,7,L,,3,1,,0,L 1,2023,19811.0,2:41,
5,2022-10-20,,Anaheim Ducks,2,1,W,SO,4,1,,0,W 1,2023,17850.0,2:48,
6,2022-10-22,,Minnesota Wild,4,3,W,OT,5,1,,0,W 2,2023,17850.0,2:42,
7,2022-10-25,,Dallas Stars,3,1,W,,6,1,,0,W 3,2023,17850.0,2:27,
8,2022-10-27,,Detroit Red Wings,5,1,W,,7,1,,0,W 4,2023,17850.0,2:31,
9,2022-10-28,@,Columbus Blue Jackets,4,0,W,,8,1,,0,W 5,2023,16162.0,2:19,
10,2022-11-01,@,Pittsburgh Penguins,6,5,W,OT,9,1,,0,W 6,2023,17629.0,2:43,
11,2022-11-03,@,New York Rangers,5,2,W,,10,1,,0,W 7,2023,18006.0,2:21,
12,2022-11-05,@,Toronto Maple Leafs,1,2,L,,10,2,,0,L 1,2023,18926.0,2:14,
13,2022-11-07,,St. Louis Blues,3,1,W,,11,2,,0,W 1,2023,17850.0,2:25,
14,2022-11-10,,Calgary Flames,3,1,W,,12,2,,0,W 2,2023,17850.0,2:28,
15,2022-11-12,@,Buffalo Sabres,3,1,W,,13,2,,0,W 3,2023,19070.0,2:28,
16,2022-11-13,,Vancouver Canucks,5,2,W,,14,2,,0,W 4,2023,17850.0,2:30,
17,2022-11-17,,Philadelphia Flyers,4,1,W,,15,2,,0,W 5,2023,17850.0,2:30,
18,2022-11-19,,Chicago Blackhawks,6,1,W,,16,2,,0,W 6,2023,17850.0,2:21,
19,2022-11-21,@,Tampa Bay Lightning,5,3,W,,17,2,,0,W 7,2023,19092.0,2:29,
20,2022-11-23,@,Florida Panthers,2,5,L,,17,3,,0,L 1,2023,17511.0,2:37,
21,2022-11-25,,Carolina Hurricanes,3,2,W,OT,18,3,,0,W 1,2023,17850.0,2:48,
22,2022-11-29,,Tampa Bay Lightning,3,1,W,,19,3,,0,W 2,2023,17850.0,2:26,
23,2022-12-03,,Colorado Avalanche,5,1,W,,20,3,,0,W 3,2023,17850.0,2:40,
24,2022-12-05,,Vegas Golden Knights,3,4,L,SO,20,3,,1,L 1,2023,17850.0,2:46,
25,2022-12-07,@,Colorado Avalanche,4,0,W,,21,3,,1,W 1,2023,18119.0,2:29,
26,2022-12-09,@,Arizona Coyotes,3,4,L,,21,4,,1,L 1,2023,4600.0,2:28,
27,2022-12-11,@,Vegas Golden Knights,3,1,W,,22,4,,1,W 1,2023,18114.0,2:28,
28,2022-12-13,,New York Islanders,4,3,W,SO,23,4,,1,W 2,2023,17850.0,2:42,
29,2022-12-15,,Los Angeles Kings,2,3,L,SO,23,4,,2,L 1,2023,17850.0,2:45,
30,2022-12-17,,Columbus Blue Jackets,4,2,W,,24,4,,2,W 1,2023,17850.0,2:29,
31,2022-12-19,,Florida Panthers,7,3,W,,25,4,,2,W 2,2023,17850.0,2:32,
32,2022-12-22,,Winnipeg Jets,3,2,W,,26,4,,2,W 3,2023,17850.0,2:25,
33,2022-12-23,@,New Jersey Devils,4,3,W,,27,4,,2,W 4,2023,16514.0,2:20,
34,2022-12-27,@,Ottawa Senators,2,3,L,SO,27,4,,3,L 1,2023,20016.0,2:44,
35,2022-12-28,@,New Jersey Devils,3,1,W,,28,4,,3,W 1,2023,16514.0,2:25,
36,2022-12-31,,Buffalo Sabres,3,4,L,OT,28,4,,4,L 1,2023,17850.0,2:41,
37,2023-01-02,,Pittsburgh Penguins,2,1,W,,29,4,,4,W 1,2023,39243.0,2:42,"at Fenway Park (Boston, MA)"
38,2023-01-05,@,Los Angeles Kings,5,2,W,,30,4,,4,W 2,2023,18230.0,2:21,
39,2023-01-07,@,San Jose Sharks,4,2,W,,31,4,,4,W 3,2023,17562.0,2:27,
40,2023-01-08,@,Anaheim Ducks,7,1,W,,32,4,,4,W 4,2023,16127.0,2:27,
41,2023-01-12,,Seattle Kraken,0,3,L,,32,5,,4,L 1,2023,17850.0,2:17,
42,2023-01-14,,Toronto Maple Leafs,4,3,W,,33,5,,4,W 1,2023,17850.0,2:33,
43,2023-01-16,,Philadelphia Flyers,6,0,W,,34,5,,4,W 2,2023,17850.0,2:34,
44,2023-01-18,@,New York Islanders,4,1,W,,35,5,,4,W 3,2023,17255.0,2:22,
45,2023-01-19,@,New York Rangers,3,1,W,,36,5,,4,W 4,2023,18006.0,2:25,
46,2023-01-22,,San Jose Sharks,4,0,W,,37,5,,4,W 5,2023,17850.0,2:31,
47,2023-01-24,@,Montreal Canadiens,4,2,W,,38,5,,4,W 6,2023,21105.0,2:34,
48,2023-01-26,@,Tampa Bay Lightning,2,3,L,,38,6,,4,L 1,2023,19092.0,2:40,
49,2023-01-28,@,Florida Panthers,3,4,L,OT,38,6,,5,L 2,2023,18058.0,2:41,
50,2023-01-29,@,Carolina Hurricanes,1,4,L,,38,7,,5,L 3,2023,18959.0,2:31,
51,2023-02-01,@,Toronto Maple Leafs,5,2,W,,39,7,,5,W 1,2023,18973.0,2:29,
52,2023-02-11,,Washington Capitals,1,2,L,,39,8,,5,L 1,2023,17850.0,2:35,
53,2023-02-14,@,Dallas Stars,3,2,W,OT,40,8,,5,W 1,2023,18532.0,2:38,
54,2023-02-16,@,Nashville Predators,5,0,W,,41,8,,5,W 2,2023,17159.0,2:27,
55,2023-02-18,,New York Islanders,6,2,W,,42,8,,5,W 3,2023,17850.0,2:18,
56,2023-02-20,,Ottawa Senators,3,1,W,,43,8,,5,W 4,2023,17850.0,2:33,
57,2023-02-23,@,Seattle Kraken,6,5,W,,44,8,,5,W 5,2023,17151.0,2:38,
58,2023-02-25,@,Vancouver Canucks,3,1,W,,45,8,,5,W 6,2023,18722.0,2:26,
59,2023-02-27,@,Edmonton Oilers,3,2,W,,46,8,,5,W 7,2023,18347.0,2:29,
60,2023-02-28,@,Calgary Flames,4,3,W,OT,47,8,,5,W 8,2023,18420.0,2:43,
61,2023-03-02,,Buffalo Sabres,7,1,W,,48,8,,5,W 9,2023,17850.0,2:31,
62,2023-03-04,,New York Rangers,4,2,W,,49,8,,5,W 10,2023,17850.0,2:38,
